"DateTime","MachID","FileName","Solver","Algorithm","Control","Message"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","BOD2_2.R","nlsj::nlsj","default","nlsj::nlsj.control()","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","BOD2_2.R","nlsj::nlsj","default","nlsj::nlsj.control(maxiter=500,scaleOffset=100)","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","BOD2_2.R","nlsj::nlsj","default","nlsj::nlsj.control(minFactor=0.0001)","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","BOD2_2.R","nlsj::nlsj","marquardt","nlsj::nlsj.control()","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","BOD2_2.R","nlsr::nlxb","NULL","list(phi=0.5,offset=99)","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","BOD2_2.R","nlsr::nlxb","NULL","NULL","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Hobbs_3.R","nlsj::nlsj","default","nlsj::nlsj.control()","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Hobbs_3.R","nlsj::nlsj","default","nlsj::nlsj.control(maxiter=500,scaleOffset=100)","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Hobbs_3.R","nlsj::nlsj","default","nlsj::nlsj.control(minFactor=0.0001)","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Hobbs_3.R","nlsj::nlsj","marquardt","nlsj::nlsj.control()","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Hobbs_3.R","nlsr::nlxb","NULL","list(phi=0.5,offset=99)","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Hobbs_3.R","nlsr::nlxb","NULL","NULL","Infeasible start"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Sacch2_1.R","nlsj::nlsj","default","nlsj::nlsj.control()","Singular jacobian"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Sacch2_1.R","minpack.lm::nlsLM","default","minpack.lm::nls.lm.control()","singular gradient matrix at initial parameter estimates"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Sacch2_1.R","minpack.lm::nlsLM","default","minpack.lm::nls.lm.control(maxiter=50)","singular gradient matrix at initial parameter estimates"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Sacch2_1.R","nlsj::nlsj","default","nlsj::nlsj.control(maxiter=500,scaleOffset=100)","Singular jacobian"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Sacch2_1.R","nlsj::nlsj","default","nlsj::nlsj.control(minFactor=0.0001)","Singular jacobian"
"2021-08-21 00:43","LAPTOP-M87LB32I:ARKAJYOTI-Windows-10 x64|AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx|8 GB RAM","Sacch2_1.R","nlsj::nlsj","marquardt","nlsj::nlsj.control()","Singular jacobian"
